. EEEE ....
100
0 1 0
1 2 0
2 3 0
3 4 0
4 5 0
5 6 0
6 7 0
7 8 0
8 9 0
9 10 0
10 11 0
11 12 0
12 13 0
13 14 0
14 15 0
15 16 0
16 17 0
17 18 0
18 19 0
19 20 0
20 21 0
21 22 0
22 23 0
23 24 0
24 25 0
25 26 0
26 27 0
27 28 0
28 29 0
29 30 0
30 31 0
31 32 0
32 33 0
33 34 0
34 35 0
35 36 0
36 37 0
37 38 0
38 39 0
39 40 0
40 41 0
41 42 0
42 43 0
43 44 0
44 45 0
45 46 0
46 47 0
47 48 0
48 49 0
49 50 0
50 51 0
51 52 0
52 53 0
53 54 0
54 55 0
55 56 0
56 57 0
57 58 0
58 59 0
59 60 0
60 61 0
61 62 0
62 63 0
63 64 0
64 65 0
65 66 0
66 67 0
67 68 0
68 69 0
69 70 0
70 71 0
71 72 0
72 73 0
73 74 0
74 75 0
75 76 0
76 77 0
77 78 0
78 79 0
79 80 0
80 81 0
81 82 0
82 83 0
83 84 0
84 85 0
85 86 0
86 87 0
87 88 0
88 89 0
89 90 0
90 91 0
91 92 0
92 93 0
93 94 0
94 95 0
95 96 0
96 97 0
97 98 0
98 99 0
99 100 0
# 100 0

x NNNN ....
. EEEE xxxx
100
0 0 1
1 0 2
2 0 3
3 0 4
4 0 5
5 0 6
6 0 7
7 0 8
8 0 9
9 0 10
10 0 11
11 0 12
12 0 13
13 0 14
14 0 15
15 0 16
16 0 17
17 0 18
18 0 19
19 0 20
20 0 21
21 0 22
22 0 23
23 0 24
24 0 25
25 0 26
26 0 27
27 0 28
28 0 29
29 0 30
30 0 31
31 0 32
32 0 33
33 0 34
34 0 35
35 0 36
36 0 37
37 0 38
38 0 39
39 0 40
40 0 41
41 0 42
42 0 43
43 0 44
44 0 45
45 0 46
46 0 47
47 0 48
48 0 49
49 0 50
50 0 51
51 0 52
52 0 53
53 0 54
54 0 55
55 0 56
56 0 57
57 0 58
58 0 59
59 0 60
60 0 61
61 0 62
62 0 63
63 0 64
64 0 65
65 0 66
66 0 67
67 0 68
68 0 69
69 0 70
70 0 71
71 0 72
72 0 73
73 0 74
74 0 75
75 0 76
76 0 77
77 0 78
78 0 79
79 0 80
80 0 81
81 0 82
82 0 83
83 0 84
84 0 85
85 0 86
86 0 87
87 0 88
88 0 89
89 0 90
90 0 91
91 0 92
92 0 93
93 0 94
94 0 95
95 0 96
96 0 97
97 0 98
98 0 99
99 0 100
# 0 100

w ESWN bbbb
b WNES wwww
100
0 1 0
1 1 -1
2 0 -1
3 0 0
4 -1 0
5 -1 1
6 0 1
7 0 0
8 -1 0
9 -1 -1
10 -2 -1
11 -2 0
12 -1 0
13 -1 -1
14 0 -1
15 0 0
16 -1 0
17 -1 -1
18 -2 -1
19 -2 -2
20 -3 -2
21 -3 -1
22 -2 -1
23 -2 -2
24 -1 -2
25 -1 -3
26 -2 -3
27 -2 -2
28 -1 -2
29 -1 -1
30 -2 -1
31 -2 -2
32 -1 -2
33 -1 -3
34 0 -3
35 0 -4
36 -1 -4
37 -1 -3
38 0 -3
39 0 -2
40 1 -2
41 1 -3
42 0 -3
43 0 -2
44 -1 -2
45 -1 -3
46 0 -3
47 0 -2
48 1 -2
49 1 -1
50 0 -1
51 0 0
52 1 0
53 1 1
54 2 1
55 2 0
56 1 0
57 1 1
58 0 1
59 0 0
60 1 0
61 1 1
62 2 1
63 2 2
64 3 2
65 3 1
66 2 1
67 2 2
68 1 2
69 1 3
70 2 3
71 2 2
72 1 2
73 1 1
74 2 1
75 2 2
76 1 2
77 1 3
78 0 3
79 0 4
80 1 4
81 1 3
82 0 3
83 0 2
84 -1 2
85 -1 3
86 0 3
87 0 2
88 1 2
89 1 3
90 0 3
91 0 2
92 -1 2
93 -1 1
94 0 1
95 0 0
96 -1 0
97 -1 1
98 0 1
99 0 2
# 0 2

